Team,GP,PTS,PPG,AST,TO,AST/TO,APG,Bench,Bench_PPG,BLKS,BKPG,EFF_FG_PCT,FB pts,FB_PPG,FGM,FGA,FG%,OPP FG,OPP FGA,OPP FG%,Fouls,PFPG,DQ,FT,FTA,FTAvgAtt,FT%,REB,RPG,OPP REB,OPP RPG,REB MAR,DRebs,DRPG,OReb,ORPG,OPP PTS,OPP PPG,SCR MAR,ST,STPG,3FG,3FGA,3FG%,Opp 3FGA,Opp 3FG,OPP_3FG%,3PG,TO_RATIO,OPP TO,AVG_FCD_TO,TO,TOPG,W,L,Pct
Gonzaga,37,3187,86.1,602,397,1.52,16.3,769,20.78,127,3.4,0.582,473,12.78,1188,2282,52.06,993,2246,44.212,613,16.6,12,532,768,20.8,69.27,1376,37.2,1171,31.6,5,993,26.84,383,10.35,2715,73.4,12,268,7.2,279,737,37.86,877,306,34.9,7.5,2.5,489,13.22,397,10.7,31,6,83.8
Toledo,35,2989,85.4,521,336,1.55,14.9,534,15.26,102,2.9,0.565,427,12.2,1057,2138,49.44,981,2128,46.1,564,16.1,8,573,744,21.3,77.02,1192,34.1,1188,33.9,0,839,23.97,353,10.09,2691,76.9,8,238,6.8,302,764,39.53,807,295,36.6,8.6,3.3,452,12.91,336,9.6,27,8,77.1
Oral Roberts,35,2915,83.3,514,329,1.56,14.7,693,19.8,188,5.4,0.558,406,11.6,1058,2231,47.42,918,2207,41.595,453,12.9,3,424,548,15.7,77.37,1288,36.8,1287,36.8,0,975,27.86,313,8.94,2458,70.2,13,237,6.8,375,1027,36.51,868,301,34.7,10.7,3.3,445,12.71,329,9.4,30,5,85.7
Southern Utah,37,3064,82.8,485,492,0.99,13.1,783,21.16,125,3.4,0.534,456,12.32,1064,2286,46.54,999,2270,44.009,680,18.4,25,623,859,23.2,72.53,1427,38.6,1292,34.9,3,1032,27.89,395,10.68,2764,74.7,8,268,7.2,313,887,35.29,829,288,34.7,8.5,0.9,527,14.24,492,13.3,24,13,64.9
Youngstown St.,34,2785,81.9,521,376,1.39,15.3,639,18.79,94,2.8,0.552,413,12.15,1017,2088,48.71,929,2065,44.988,550,16.2,11,480,616,18.1,77.92,1204,35.4,1127,33.1,2,853,25.09,351,10.32,2465,72.5,9,238,7.0,271,743,36.47,698,238,34.1,8.0,1.8,438,12.88,376,11.1,24,10,70.6
Arizona,35,2866,81.9,662,468,1.41,18.9,653,18.66,110,3.1,0.565,480,13.71,1023,2072,49.37,905,2216,40.839,593,16.9,7,525,742,21.2,70.75,1376,39.3,1163,33.2,6,1020,29.14,356,10.17,2490,71.1,10,213,6.1,295,781,37.77,858,277,32.3,8.4,-1.1,431,12.31,468,13.4,28,7,80.0
Alabama,37,3027,81.8,555,512,1.08,15.0,960,25.95,189,5.1,0.521,477,12.89,1023,2314,44.21,885,2387,37.076,691,18.7,14,615,848,22.9,72.52,1652,44.6,1383,37.4,7,1168,31.57,484,13.08,2526,68.3,13,224,6.1,366,1093,33.49,715,202,28.3,9.9,-2.1,434,11.73,512,13.8,31,6,83.8
Marshall,32,2616,81.8,561,372,1.51,17.5,377,11.78,169,5.3,0.527,407,12.72,986,2120,46.51,852,2016,42.262,526,16.4,13,380,548,17.1,69.34,1247,39.0,1233,38.5,0,852,26.62,395,12.34,2281,71.3,10,288,9.0,264,781,33.8,693,222,32.0,8.2,3.3,478,14.94,372,11.6,24,8,75.0
Cornell,28,2287,81.7,489,348,1.41,17.5,852,30.43,63,2.2,0.556,446,15.93,816,1738,46.95,774,1643,47.109,466,16.6,3,355,490,17.5,72.45,964,34.4,964,34.4,0,673,24.04,291,10.39,2129,76.0,5,272,9.7,300,851,35.25,650,231,35.5,10.7,3.5,446,15.93,348,12.4,17,11,60.7
Xavier,37,2995,80.9,705,459,1.54,19.1,459,12.41,120,3.2,0.552,410,11.08,1109,2256,49.16,1012,2285,44.289,593,16.0,9,503,708,19.1,71.05,1396,37.7,1195,32.3,5,1016,27.46,380,10.27,2741,74.1,6,236,6.4,274,703,38.98,765,274,35.8,7.4,-0.7,434,11.73,459,12.4,27,10,73.0
Furman,36,2911,80.9,600,397,1.51,16.7,696,19.33,115,3.2,0.557,406,11.28,1016,2129,47.72,937,2094,44.747,604,16.8,11,539,727,20.2,74.14,1262,35.1,1204,33.4,1,911,25.31,351,9.75,2563,71.2,9,238,6.6,340,988,34.41,733,242,33.0,9.4,2.0,470,13.06,397,11.0,28,8,77.8
New Mexico,34,2749,80.9,466,382,1.22,13.7,501,14.74,134,3.9,0.528,518,15.24,983,2043,48.12,916,2100,43.619,574,16.9,5,591,800,23.5,73.88,1260,37.1,1193,35.1,1,928,27.29,332,9.76,2525,74.3,6,229,6.7,192,545,35.23,810,271,33.5,5.6,1.5,433,12.74,382,11.2,22,12,64.7
UAB,39,3149,80.7,551,488,1.13,14.1,858,22.0,166,4.3,0.508,499,12.79,1112,2462,45.17,984,2391,41.154,664,17.0,6,649,876,22.5,74.09,1595,40.9,1381,35.4,5,1069,27.41,526,13.49,2740,70.3,10,314,8.1,276,778,35.48,903,283,31.3,7.1,1.6,552,14.15,488,12.5,29,10,74.4
James Madison,33,2658,80.5,444,435,1.02,13.5,1079,32.7,87,2.6,0.527,453,13.73,933,2019,46.21,811,1920,42.24,583,17.7,10,529,748,22.7,70.72,1257,38.1,1128,34.2,3,864,26.18,393,11.91,2246,68.1,12,298,9.0,263,751,35.02,729,226,31.0,8.0,3.4,546,16.55,435,13.2,22,11,66.7
UT Martin,33,2658,80.5,450,394,1.14,13.6,720,21.82,114,3.5,0.521,498,15.09,945,2058,45.92,877,2076,42.245,603,18.3,12,513,711,21.5,72.15,1293,39.2,1226,37.2,2,947,28.7,346,10.48,2489,75.4,5,249,7.5,255,771,33.07,838,270,32.2,7.7,1.0,426,12.91,394,11.9,19,14,57.6
Col. of Charleston,35,2804,80.1,478,418,1.14,13.7,1114,31.83,109,3.1,0.515,418,11.94,959,2202,43.55,899,2085,43.118,590,16.9,4,538,723,20.7,74.41,1411,40.3,1189,34.0,6,939,26.83,472,13.49,2353,67.2,12,259,7.4,348,1051,33.11,671,205,30.6,9.9,1.8,482,13.77,418,11.9,31,4,88.6
A&M-Corpus Christi,35,2803,80.1,536,448,1.2,15.3,862,24.63,60,1.7,0.513,423,12.09,971,2152,45.12,893,1995,44.762,665,19.0,12,593,749,21.4,79.17,1306,37.3,1175,33.6,3,881,25.17,425,12.14,2561,73.2,6,296,8.5,268,736,36.41,860,288,33.5,7.7,2.3,529,15.11,448,12.8,24,11,68.6
Iowa,33,2642,80.1,541,325,1.66,16.4,633,19.18,112,3.4,0.517,380,11.52,941,2077,45.31,939,1982,47.376,488,14.8,6,495,671,20.3,73.77,1207,36.6,1145,34.7,1,809,24.52,398,12.06,2464,74.7,5,216,6.5,265,779,34.02,640,234,36.6,8.0,3.0,424,12.85,325,9.8,19,14,57.6
Tulane,31,2478,79.9,485,351,1.38,15.6,422,13.61,130,4.2,0.524,320,10.32,861,1873,45.97,845,1969,42.915,511,16.5,18,515,663,21.4,77.68,1037,33.5,1243,40.1,-6,826,26.65,211,6.81,2392,77.2,2,262,8.5,241,713,33.8,827,295,35.7,7.8,3.2,450,14.52,351,11.3,20,11,64.5
Wright St.,33,2637,79.9,495,419,1.18,15.0,781,23.67,99,3.0,0.546,306,9.27,1031,2077,49.64,897,2062,43.501,514,15.6,6,370,502,15.2,73.71,1212,36.7,1138,34.5,2,908,27.52,304,9.21,2432,73.7,6,207,6.3,205,574,35.71,798,262,32.8,6.2,0.5,434,13.15,419,12.7,18,15,54.5
Memphis,35,2778,79.4,546,467,1.17,15.6,681,19.46,158,4.5,0.53,526,15.03,1004,2096,47.9,848,2114,40.114,637,18.2,18,555,743,21.2,74.7,1256,35.9,1234,35.3,0,892,25.49,364,10.4,2512,71.8,7,301,8.6,215,609,35.3,907,279,30.8,6.1,1.8,531,15.17,467,13.3,26,9,74.3
Bryant,30,2381,79.4,403,402,1.0,13.4,520,17.33,106,3.5,0.532,378,12.6,848,1821,46.57,778,1849,42.077,518,17.3,17,442,602,20.1,73.42,1179,39.3,1021,34.0,5,861,28.7,318,10.6,2193,73.1,6,200,6.7,243,714,34.03,719,237,33.0,8.1,-1.0,372,12.4,402,13.4,17,13,56.7
Marquette,36,2856,79.3,624,386,1.62,17.3,732,20.33,108,3.0,0.56,539,14.97,1056,2174,48.57,919,2067,44.461,582,16.2,10,422,588,16.3,71.77,1146,31.8,1276,35.4,-3,829,23.03,317,8.81,2530,70.3,9,330,9.2,322,912,35.31,776,269,34.7,8.9,5.1,570,15.83,386,10.7,29,7,80.6
Indiana St.,36,2855,79.3,570,434,1.31,15.8,808,22.44,69,1.9,0.564,342,9.5,1008,2088,48.28,902,2117,42.607,587,16.3,9,499,647,18.0,77.13,1245,34.6,1174,32.6,1,996,27.67,249,6.92,2507,69.6,9,235,6.5,340,959,35.45,752,241,32.0,9.4,0.4,450,12.5,434,12.1,23,13,63.9
Miami (FL),37,2925,79.1,535,411,1.3,14.5,485,13.11,115,3.1,0.543,486,13.14,1058,2205,47.98,991,2214,44.761,527,14.2,5,531,677,18.3,78.43,1285,34.7,1188,32.1,2,901,24.35,384,10.38,2661,71.9,7,270,7.3,278,755,36.82,852,285,33.5,7.5,1.4,463,12.51,411,11.1,29,8,78.4
Missouri,35,2762,78.9,559,390,1.43,16.0,876,25.03,95,2.7,0.55,475,13.57,988,2092,47.23,891,1998,44.595,631,18.0,7,461,608,17.4,75.82,1058,30.2,1310,37.4,-7,748,21.37,310,8.86,2604,74.4,4,357,10.2,325,904,35.95,884,309,35.0,9.3,5.8,592,16.91,390,11.1,25,10,71.4
Ohio,33,2602,78.8,412,370,1.11,12.5,854,25.88,73,2.2,0.53,383,11.61,945,2063,45.81,860,1932,44.513,585,17.7,11,417,571,17.3,73.03,1239,37.5,1135,34.4,3,840,25.45,399,12.09,2413,73.1,5,221,6.7,295,791,37.29,747,254,34.0,8.9,1.2,410,12.42,370,11.2,19,14,57.6
Samford,32,2519,78.7,374,405,0.92,11.7,849,26.53,83,2.6,0.533,276,8.62,832,1833,45.39,770,1783,43.186,598,18.7,15,565,756,23.6,74.74,1137,35.5,1066,33.3,2,818,25.56,319,9.97,2290,71.6,7,260,8.1,290,822,35.28,782,287,36.7,9.1,2.0,468,14.62,405,12.7,21,11,65.6
UTRGV,32,2518,78.7,505,514,0.98,15.8,601,18.78,104,3.2,0.529,446,13.94,868,1852,46.87,867,1963,44.167,641,20.0,24,560,802,25.1,69.83,1211,37.8,1099,34.3,3,866,27.06,345,10.78,2502,78.2,0,151,4.7,222,655,33.89,716,238,33.2,6.9,-3.1,414,12.94,514,16.1,15,17,46.9
Eastern Ky.,37,2909,78.6,552,444,1.24,14.9,945,25.54,176,4.8,0.505,412,11.14,1098,2487,44.15,987,2291,43.082,586,15.8,6,395,599,16.2,65.94,1481,40.0,1372,37.1,2,978,26.43,503,13.59,2720,73.5,5,296,8.0,318,927,34.3,909,309,34.0,8.6,2.5,536,14.49,444,12.0,23,14,62.2
UConn,39,3064,78.6,684,503,1.36,17.5,777,19.92,190,4.9,0.539,417,10.69,1082,2333,46.38,856,2145,39.907,692,17.7,10,547,719,18.4,76.08,1534,39.3,1173,30.1,9,1027,26.33,507,13.0,2501,64.1,14,245,6.3,353,973,36.28,653,194,29.7,9.1,-0.3,493,12.64,503,12.9,31,8,79.5
Milwaukee,34,2659,78.2,472,515,0.92,13.9,982,28.88,186,5.5,0.523,419,12.32,944,2062,45.78,893,2187,40.832,610,17.9,6,504,681,20.0,74.01,1330,39.1,1237,36.4,2,925,27.21,405,11.91,2522,74.2,4,236,6.9,267,774,34.5,912,280,30.7,7.9,-1.5,465,13.68,515,15.1,22,12,64.7
Utah St.,35,2736,78.2,585,426,1.37,16.7,842,24.06,117,3.3,0.562,322,9.2,947,1975,47.95,870,2055,42.336,589,16.8,6,517,678,19.4,76.25,1243,35.5,1103,31.5,4,943,26.94,300,8.57,2446,69.9,8,175,5.0,325,840,38.69,694,241,34.7,9.3,-1.1,388,11.09,426,12.2,26,9,74.3
Tennessee St.,32,2499,78.1,427,403,1.06,13.3,571,17.84,105,3.3,0.521,461,14.41,868,1935,44.86,809,1845,43.848,654,20.4,20,482,694,21.7,69.45,1164,36.4,1148,35.9,0,828,25.88,336,10.5,2401,75.0,3,187,5.8,281,804,34.95,675,233,34.5,8.8,1.0,436,13.62,403,12.6,18,14,56.2
Colgate,35,2733,78.1,637,357,1.78,18.2,647,18.49,100,2.9,0.581,345,9.86,1042,2038,51.13,937,2056,45.574,438,12.5,2,363,549,15.7,66.12,1179,33.7,1103,31.5,2,900,25.71,279,7.97,2426,69.3,8,248,7.1,286,709,40.34,753,270,35.9,8.2,2.1,432,12.34,357,10.2,26,9,74.3
UMass Lowell,34,2653,78.0,486,466,1.04,14.3,853,25.09,164,4.8,0.543,332,9.76,965,1995,48.37,790,1940,40.722,572,16.8,7,487,662,19.5,73.56,1314,38.6,1029,30.3,8,908,26.71,406,11.94,2243,66.0,12,237,7.0,236,619,38.13,634,212,33.4,6.9,0.1,471,13.85,466,13.7,26,8,76.5
Texas,38,2963,78.0,614,439,1.4,16.2,1065,28.03,136,3.6,0.533,452,11.89,1083,2289,47.31,906,2132,42.495,663,17.4,10,523,699,18.4,74.82,1296,34.1,1307,34.4,0,930,24.47,366,9.63,2578,67.8,10,299,7.9,274,790,34.68,741,240,32.4,7.2,4.1,595,15.66,439,11.6,29,9,76.3
Pepperdine,31,2417,78.0,469,436,1.08,15.1,525,16.94,117,3.8,0.531,310,10.0,898,1930,46.53,915,1991,45.957,548,17.7,16,368,518,16.7,71.04,1109,35.8,1149,37.1,-1,823,26.55,286,9.23,2520,81.3,-3,168,5.4,253,699,36.19,676,243,35.9,8.2,-1.9,378,12.19,436,14.1,9,22,29.0
Fla. Atlantic,39,3035,77.8,562,460,1.22,14.4,1275,32.69,100,2.6,0.547,444,11.38,1084,2326,46.6,923,2290,40.306,613,15.7,4,492,684,17.5,71.93,1519,38.9,1286,33.0,5,1094,28.05,425,10.9,2547,65.3,12,252,6.5,375,1024,36.62,800,258,32.2,9.6,0.5,481,12.33,460,11.8,35,4,89.7
Portland,33,2566,77.8,488,420,1.16,14.8,740,22.42,75,2.3,0.541,282,8.55,836,1837,45.51,932,2045,45.575,579,17.5,13,577,774,23.5,74.55,1082,32.8,1169,35.4,-2,814,24.67,268,8.12,2594,78.6,0,164,5.0,317,845,37.51,891,337,37.8,9.6,-0.5,403,12.21,420,12.7,14,19,42.4
NC State,34,2643,77.7,434,320,1.36,12.8,473,13.91,152,4.5,0.515,508,14.94,982,2181,45.03,859,1931,44.485,592,17.4,13,398,551,16.2,72.23,1244,36.6,1185,34.9,1,859,25.26,385,11.32,2408,70.8,6,266,7.8,281,810,34.69,648,205,31.6,8.3,3.8,449,13.21,320,9.4,23,11,67.6
Southeastern La.,32,2483,77.6,453,390,1.16,14.2,793,24.78,58,1.8,0.522,406,12.69,889,1942,45.78,861,1872,45.994,557,17.4,10,457,616,19.2,74.19,1107,34.6,1135,35.5,0,778,24.31,329,10.28,2432,76.0,1,233,7.3,248,672,36.9,772,295,38.2,7.8,2.3,465,14.53,390,12.2,18,14,56.2
Houston Christian,32,2482,77.6,474,489,0.97,14.8,630,19.69,88,2.8,0.528,264,8.25,851,1863,45.68,984,1978,49.747,575,18.0,14,515,717,22.4,71.83,1097,34.3,1118,34.9,0,767,23.97,330,10.31,2658,83.1,-5,184,5.8,265,726,36.5,660,242,36.7,8.3,-2.6,405,12.66,489,15.3,10,22,31.2
Buffalo,32,2481,77.5,470,452,1.04,14.7,771,24.09,102,3.2,0.509,484,15.12,906,2000,45.3,881,1942,45.366,602,18.8,17,445,632,19.8,70.41,1208,37.8,1125,35.2,2,831,25.97,377,11.78,2485,77.7,0,254,7.9,224,696,32.18,696,244,35.1,7.0,-0.2,447,13.97,452,14.1,15,17,46.9
Southeast Mo. St.,36,2789,77.5,497,471,1.06,13.8,787,21.86,115,3.2,0.503,430,11.94,958,2191,43.72,928,2085,44.508,767,21.3,35,587,828,23.0,70.89,1262,35.1,1305,36.2,-1,915,25.42,347,9.64,2734,75.9,1,251,7.0,286,875,32.69,744,256,34.4,7.9,1.6,527,14.64,471,13.1,19,17,52.8
FDU,37,2863,77.4,545,425,1.28,14.7,716,19.35,74,2.0,0.517,425,11.49,1045,2312,45.2,972,2061,47.162,696,18.8,14,471,626,16.9,75.24,1271,34.4,1257,34.0,0,844,22.81,427,11.54,2744,74.2,3,295,8.0,302,876,34.47,820,287,35.0,8.2,3.8,567,15.32,425,11.5,21,16,56.8
Utah Valley,37,2863,77.4,594,509,1.17,16.1,668,18.05,242,6.5,0.52,537,14.51,1022,2200,46.45,928,2380,38.992,646,17.5,14,577,780,21.1,73.97,1492,40.3,1354,36.6,3,1115,30.14,377,10.19,2538,68.6,8,239,6.5,242,728,33.24,766,235,30.7,6.5,-1.4,458,12.38,509,13.8,28,9,75.7
Louisiana,34,2630,77.4,489,415,1.18,14.4,653,19.21,102,3.0,0.542,399,11.74,950,1972,48.17,859,1944,44.187,577,17.0,9,491,720,21.2,68.19,1241,36.5,1035,30.4,6,864,25.41,377,11.09,2362,69.5,7,244,7.2,239,635,37.64,592,199,33.6,7.0,0.4,428,12.59,415,12.2,26,8,76.5
Providence,33,2552,77.3,482,387,1.25,14.6,513,15.55,147,4.5,0.511,390,11.82,901,1975,45.62,872,1980,44.04,495,15.0,5,532,717,21.7,74.2,1257,38.1,1069,32.4,5,857,25.97,400,12.12,2343,71.0,6,226,6.8,218,630,34.6,665,225,33.8,6.6,0.0,387,11.73,387,11.7,21,12,63.6
St. John's (NY),33,2552,77.3,500,462,1.08,15.2,716,21.7,123,3.7,0.494,503,15.24,970,2159,44.93,885,2037,43.446,535,16.2,8,419,599,18.2,69.95,1324,40.1,1178,35.7,4,891,27.0,433,13.12,2481,75.2,2,272,8.2,193,583,33.1,802,277,34.5,5.8,0.7,486,14.73,462,14.0,18,15,54.5
Chattanooga,35,2702,77.2,536,407,1.32,15.3,815,23.29,121,3.5,0.55,263,7.51,924,2042,45.25,888,2099,42.306,552,15.8,9,456,639,18.3,71.36,1268,36.2,1185,33.9,2,933,26.66,335,9.57,2523,72.1,5,200,5.7,398,1057,37.65,893,298,33.4,11.4,-1.1,369,10.54,407,11.6,18,17,51.4
San Diego,31,2391,77.1,398,355,1.12,12.8,603,19.45,55,1.8,0.516,450,14.52,849,1882,45.11,897,1818,49.34,547,17.6,13,449,587,18.9,76.49,1027,33.1,1077,34.7,-1,713,23.0,314,10.13,2495,80.5,-3,207,6.7,244,691,35.31,757,309,40.8,7.9,1.4,399,12.87,355,11.5,11,20,35.5
Cincinnati,36,2776,77.1,559,384,1.46,15.5,620,17.22,142,3.9,0.517,403,11.19,1022,2281,44.8,915,2142,42.717,570,15.8,10,418,592,16.4,70.61,1341,37.2,1249,34.7,2,938,26.06,403,11.19,2495,69.3,7,226,6.3,314,894,35.12,669,209,31.2,8.7,1.5,438,12.17,384,10.7,23,13,63.9
Baylor,34,2619,77.0,483,413,1.17,14.2,579,17.03,82,2.4,0.532,351,10.32,880,1957,44.97,864,1902,45.426,590,17.4,8,536,720,21.2,74.44,1155,34.0,1086,31.9,2,764,22.47,391,11.5,2389,70.3,6,223,6.6,323,878,36.79,720,234,32.5,9.5,1.4,460,13.53,413,12.1,23,11,67.6
Rice,35,2693,76.9,533,450,1.18,15.2,495,14.14,85,2.4,0.541,257,7.34,956,2052,46.59,1006,2161,46.553,541,15.5,6,473,641,18.3,73.79,1220,34.9,1211,34.6,0,926,26.46,294,8.4,2680,76.6,0,208,5.9,308,875,35.2,809,294,36.3,8.8,-0.9,417,11.91,450,12.9,19,16,54.3
Santa Clara,33,2538,76.9,460,414,1.11,13.9,504,15.27,125,3.8,0.521,388,11.76,919,2026,45.36,883,2035,43.391,519,15.7,7,425,604,18.3,70.36,1261,38.2,1106,33.5,4,910,27.58,351,10.64,2413,73.1,3,196,5.9,275,742,37.06,785,281,35.8,8.3,-0.7,392,11.88,414,12.5,23,10,69.7
Stetson,31,2381,76.8,429,329,1.3,13.8,839,27.06,99,3.2,0.544,278,8.97,857,1860,46.08,826,1821,45.36,484,15.6,5,356,461,14.9,77.22,1085,35.0,1034,33.4,1,765,24.68,320,10.32,2287,73.8,3,159,5.1,311,811,38.35,692,244,35.3,10.0,-0.4,317,10.23,329,10.6,17,14,54.8
Eastern Wash.,34,2607,76.7,523,461,1.13,15.4,697,20.5,107,3.1,0.569,337,9.91,931,1901,48.97,849,2005,42.344,591,17.4,7,445,589,17.3,75.55,1222,35.9,1055,31.0,4,917,26.97,305,8.97,2429,71.4,5,176,5.2,300,837,35.84,882,294,33.3,8.8,-2.3,383,11.26,461,13.6,23,11,67.6
Wake Forest,33,2528,76.6,444,399,1.11,13.5,555,16.82,90,2.7,0.542,267,8.09,878,1909,45.99,892,1990,44.824,528,16.0,7,457,613,18.6,74.55,1129,34.2,1142,34.6,0,854,25.88,275,8.33,2435,73.8,2,199,6.0,315,866,36.37,769,269,35.0,9.5,0.1,403,12.21,399,12.1,19,14,57.6
Detroit Mercy,33,2527,76.6,413,390,1.06,12.5,313,9.48,64,1.9,0.516,333,10.09,876,2024,43.28,893,1931,46.245,529,16.0,6,437,569,17.2,76.8,1212,36.7,1097,33.2,3,779,23.61,433,13.12,2486,75.3,1,202,6.1,338,875,38.63,757,277,36.6,10.2,-0.1,386,11.7,390,11.8,14,19,42.4
Long Beach St.,33,2524,76.5,494,466,1.06,15.0,613,18.58,108,3.3,0.49,461,13.97,949,2086,45.49,867,2056,42.169,563,17.1,14,480,708,21.5,67.8,1341,40.6,1148,34.8,5,912,27.64,429,13.0,2455,74.4,2,245,7.4,146,494,29.55,820,276,33.7,4.4,-0.1,463,14.03,466,14.1,17,16,51.5
Belmont,32,2447,76.5,488,365,1.34,15.2,585,18.28,101,3.2,0.553,333,10.41,898,1902,47.21,852,1895,44.96,499,15.6,3,344,474,14.8,72.57,1055,33.0,1127,35.2,-2,788,24.62,267,8.34,2299,71.8,4,225,7.0,307,791,38.81,645,230,35.7,9.6,1.3,406,12.69,365,11.4,21,11,65.6
Creighton,37,2828,76.4,581,429,1.35,15.7,392,10.59,152,4.1,0.542,327,8.84,1014,2164,46.86,983,2332,42.153,486,13.1,2,481,614,16.6,78.34,1369,37.0,1230,33.2,3,1063,28.73,306,8.27,2531,68.4,8,185,5.0,319,902,35.37,688,231,33.6,8.6,-1.9,358,9.68,429,11.6,24,13,64.9
Ball St.,32,2445,76.4,422,391,1.08,13.2,509,15.91,123,3.8,0.538,316,9.88,841,1785,47.11,823,1873,43.94,525,16.4,8,523,759,23.7,68.91,1147,35.8,1054,32.9,2,810,25.31,337,10.53,2292,71.6,4,176,5.5,240,651,36.87,619,237,38.3,7.5,-0.6,373,11.66,391,12.2,20,12,62.5
Lipscomb,33,2521,76.4,466,399,1.17,14.1,894,27.09,92,2.8,0.543,309,9.36,943,1983,47.55,866,2024,42.787,460,13.9,2,369,496,15.0,74.4,1198,36.3,1094,33.2,3,909,27.55,289,8.76,2343,71.0,5,177,5.4,266,748,35.56,794,265,33.4,8.1,-0.5,383,11.61,399,12.1,20,13,60.6
George Washington,32,2441,76.3,406,403,1.01,12.7,323,10.09,109,3.4,0.532,273,8.53,869,1849,47.0,892,1999,44.622,526,16.4,13,475,644,20.1,73.76,1118,34.9,1126,35.2,0,834,26.06,284,8.88,2455,76.7,0,182,5.7,228,710,32.11,784,274,34.9,7.1,-1.5,355,11.09,403,12.6,16,16,50.0
North Florida,31,2363,76.2,405,378,1.07,13.1,666,21.48,120,3.9,0.543,283,9.13,837,1838,45.54,929,2004,46.357,435,14.0,6,366,509,16.4,71.91,1058,34.1,1157,37.3,-3,779,25.13,279,9.0,2405,77.6,-1,154,5.0,323,881,36.66,582,205,35.2,10.4,-2.0,316,10.19,378,12.2,14,17,45.2
Portland St.,31,2363,76.2,431,375,1.15,13.9,865,27.9,105,3.4,0.51,470,15.16,835,1865,44.77,787,1669,47.154,700,22.6,21,459,631,20.4,72.74,974,31.4,1113,35.9,-4,685,22.1,289,9.32,2340,75.5,0,220,7.1,234,688,34.01,566,202,35.7,7.5,3.9,495,15.97,375,12.1,12,19,38.7
San Francisco,34,2591,76.2,436,469,0.93,12.8,766,22.53,85,2.5,0.535,308,9.06,883,1975,44.71,854,1941,43.998,629,18.5,11,476,635,18.7,74.96,1173,34.5,1113,32.7,1,847,24.91,326,9.59,2496,73.4,2,230,6.8,349,966,36.13,675,230,34.1,10.3,-1.1,431,12.68,469,13.8,20,14,58.8
